ztfname,ra,dec,coord_source,iau_name,ztfname,z,t0,x0,x1,c,mwebv,mwr_v,z_err,t0_err,x0_err,x1_err,c_err,mwebv_err,mwr_v_err,cov_t_x0,cov_t_x1,cov_t_c,cov_x0_x1,cov_x0_c,cov_x1_c,fitprob,lccoverage_flag,fitquality_flag,frac_fitted,peak_mag_ztfg,peak_mag_ztfr,phot_version
ZTF18aabstmw,153.451129,38.763123,fritz,2018aaz,ZTF18aabstmw,0.02308648,58190.750250680176,0.0012555938316736988,-1.5276189123213608,0.31015357721632064,0.011196535117444294,3.1,0.0,0.10311271897080587,6.827616505692812e-05,0.11023979629382907,0.044589065450393234,0.0,0.0,-1.1621671880632076e-06,-0.006445485145008546,0.0015260919343751244,-6.089846016316489e-07,-2.8002973826819354e-06,-0.0006779381305738873,5.1108233978120045e-11,1.0,0.0,100.0,17.70434303813936,17.462970795431584,2022dec05
ZTF18aahfgyz,175.28327,24.819567,fritz,2018ast,ZTF18aahfgyz,0.0121384,58215.87217654999,0.0022689493899954,-2.085871894178553,0.5379787705017913,0.02191377572954134,3.1,0.0,0.2952983795257751,0.00010945710367823015,0.0872706377669955,0.03871474774038616,0.0,0.0,-8.095040885295949e-06,-0.01077199060728323,0.0007011371863875799,-5.835723667056249e-07,-3.752997850344361e-06,-7.341531360237511e-05,3.0750091527488414e-47,0.0,0.0,88.88888888888889,16.957713067283645,16.448197253063107,2022dec05
ZTF18aahjaxz,193.455954,29.590735,fritz,2018avg,ZTF18aahjaxz,0.04630438,58226.16427617669,0.00046333604252996914,-3.0416361446572737,0.3409957160745509,0.015736284951863168,3.1,0.0,0.1516856894522789,1.8379927700196483e-05,0.1592492834123247,0.03736297781495476,0.0,0.0,-8.813371034893883e-07,-0.002966298076437234,0.0018741079282991663,-1.7896878770293955e-07,-5.949815199611963e-07,-0.000405193793063619,0.0018439779760533361,1.0,0.0,97.10144927536231,18.76924844534211,18.459941037057305,2022dec05
ZTF18aaimxdx,266.036898,39.355355,fritz,2018bay,ZTF18aaimxdx,0.03945433,58217.23927534944,0.0005112190160899759,-2.589153926144756,0.46036330359040734,0.02870650413364707,3.1,0.0,0.11703759898227872,2.389667776325519e-05,0.10030485237190678,0.038787150874434795,0.0,0.0,2.974328777887422e-07,-0.0006848251567736733,-0.0007193257075973401,-9.373967345287235e-07,-8.51908490028104e-07,0.0011613502177897565,1.4569202684946106e-16,1.0,0.0,99.33774834437087,18.61015003722436,18.17597904925252,2022dec05
ZTF18aajtlbf,261.967674,60.095399,fritz,2018bbz,ZTF18aajtlbf,0.02783472,58228.08527400823,0.0014316965160889965,-3.2493668936164517,0.3373396694151164,0.022336776952853972,3.1,0.0,0.09662519942139625,4.97176720438404e-05,0.08811970817971981,0.03228643551815441,0.0,0.0,-1.3037058908655422e-06,-0.00017115524567346775,0.000889657640682983,-3.4650711031007335e-07,-1.4111244296592059e-06,7.30499958644297e-05,2.5665671928846252e-21,1.0,0.0,100.0,17.54541282310276,17.235829157271457,2022dec05
ZTF18aaodnxt,202.017241,34.328767,fritz,,ZTF18aaodnxt,0.03408115,58240.667175748196,0.0003757748237672324,-0.11713971282401825,0.3941848885097689,0.014025602454766556,3.1,0.0,0.1713169991853647,1.415847106575854e-05,0.18721030899087818,0.037655758804433864,0.0,0.0,-6.302427324139315e-07,0.007941516764990234,0.0008406891609467207,-2.9831576836670856e-07,-4.267346722356588e-07,-0.001624237542888103,9.094015966296103e-19,1.0,0.0,100.0,18.979804278215443,18.67678098315543,2022dec05
ZTF18aaqfkqh,217.603761,11.932566,fritz,2018ahq,ZTF18aaqfkqh,0.02551671,58193.90000000137,0.0024792658166978036,-1.0543569679222304,0.2493492438873972,0.026107821046125128,3.1,0.0,0.27209844624303514,0.00011672813224503911,0.17695105025433494,0.04142431564712844,0.0,0.0,-1.2480214081141222e-11,-1.9334855829955182e-08,-3.5706073980019596e-10,-6.122611873665964e-06,-3.6111709210826e-06,-0.0018603414917381985,0.7333419853472988,0.0,1.0,100.0,16.993296846980172,16.831160703314126,2022dec05
ZTF18aarcypa,167.459331,28.971408,fritz,2018bil,ZTF18aarcypa,0.03203689,58252.462188987905,0.0009141288977725763,-3.040277289784832,0.15174076291656544,0.023253725045203986,3.1,0.0,0.33934713386406656,7.867186608327654e-05,0.29031335956260684,0.07192040597659434,0.0,0.0,1.706025614052453e-05,-0.008498517417685446,-0.014895878068659251,-9.427473201779222e-06,-5.2406311596676605e-06,0.006732306085216653,0.10758178693274799,1.0,0.0,100.0,18.113093262891585,18.02009411494128,2022dec05
ZTF18abbikrz,240.767242,19.182311,fritz,2020pwn,ZTF18abbikrz,0.04672737,59058.05021867657,0.0015628766809679103,-2.8392026132696278,0.0094595353877825,0.034772546112828304,3.1,0.0,0.09748473975560046,5.625736191187231e-05,0.14977791346152514,0.032805188432686976,0.0,0.0,-2.4927805816348505e-07,0.0015473249746606266,2.145946065660686e-05,-2.5413947192959287e-06,-1.569786704351789e-06,0.0008490609391647072,4.1862290002582107e-07,1.0,1.0,100.0,17.590187954840594,17.665616598428898,2022dec05
ZTF18abdmgab,250.902297,33.533633,fritz,2018lph,ZTF18abdmgab,0.07842041,58311.527880162736,0.00031644626375838006,-2.4174069939429264,0.08746152463066233,0.01873426045296187,3.1,0.0,0.08696205192245543,9.877755353928101e-06,0.12292455331315222,0.029310344886234536,0.0,0.0,6.324659437773766e-08,0.0028512334277872456,-0.00017484475304716532,-1.4783906711372453e-07,-2.432135150576231e-07,4.524676441437713e-05,0.0006998777768538101,1.0,1.0,100.0,19.293473558139347,19.28711933430367,2022dec05
